ID,Title,Location,Salary,Summary
job_e2ac5f3c7544bdc7,[JW중외제약] 대졸이상 신입/경력 수시채용,,,"신제품 후보물질 발굴 및 License-in 추진 - 신규물질 스크리닝, 제품검토 및 시장성 평가, 사업제안, Term sheet협의 2. 신약개발과제 License-out 관련 업무의 기획 및 추진 - 내부 개발현황 파악..."
job_41f0bf1d8fb8d2f6,Cross Border Ecommerce - Project Management (Based in Seoul),,,projects Lead some issue management and develop short term and long term solution Efficiently organize and convene meetings...
job_794c86c42bdad133,CIB F&BM - Legal Entity Controller - Analyst,,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
job_3ece5c9fc6355693,"Trainer, Retail",,,"mindset is core to our business and key to our long- term success. JOB PURPOSE Service excellence ambassador, responsible..."
job_192b9fd21ff95385,Airfreight Business Development Partner,,,"expectation and long- term relationship... development plan with short- and long- term business objectives, and initiatives..."
job_59c9a44dbd790d61,Senior Sales Coordinator,,,"system & create product notice Support mid-year forecast, long term plan, year-end forecast and actual revenues for INSEAK..."
job_ca682172ce1933cd,"Manager, Consumer Products",,,"our most popular content and ultimately, drive long- term revenue. Ideally, our products connect members to our content..."
job_bcc6fd8422c3b005,"Manager, Marketing Strategy",,,"paid, digital, social, partnerships etc.) Evaluate short and long term performance of marketing activities Drive operational..."
job_ba08769cee1fc8c8,KR_HP_Head of Market Access & Healthcare Affairs,,,"takes a long- term perspective. Now, we... Direct, devise and execute the long- term market access and healthcare affairs..."
job_5052fe732f277249,Employee Relations Manager,,,"partnering with Leadership team, responsible for establishing long- term & constructive union relations strategy, and ensure..."
job_6ddb38d6e7126dcd,KR Communications Manager,,,"animals... family owned company, we focus on long- term performance. We believe... we have talented and ambitious..."
job_041f571c19d01c97,Sr. Application Engineer Consultant - HAV,,,build and improve customer relationships to ensure long term customer satisfaction and become the go-to expert for all...
job_8c319c77b1e1cbca,Adhesive Product Development Intern Busan,,,"Office JOB ID: 21026362 Contract & Job type: Full Time, Limited Term Contact information for application-related questions..."
job_d0986208b46d0291,"Project Engineer, Korea",,,matter experts Contribute... success of Bloom Energy’s long- term process improvement efforts Ensure exemplary safety...
job_25a80b0ae78ddf04,Bioprocess Sales Specialist,,,operation and communication... domestic and long- term distributor in South Korea. Regular sales updates and opportunity...
job_46be5e65f5f55cda,CIB Operations - Client Onboarding Middle Office - KYC Speci...,,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
job_2f8cc07caee255a5,"Director, Acquisition Marketing, HBO Max",,,"execute acquisition campaigns, as well as balance longer- term strategic thinking... role will drive the analyses..."
job_438adba5847882f6,"Offcycle internship, Macquarie Capital Korea",,,"principal investment. Job no: MacCap-962251 Work type: Fixed term Location: Seoul Category: Junior, Corporate Finance / M..."
job_524060e7eb43532b,"Sr Marketing Specialist, ENT",,,operators and referrers Good ability to set up long- term marketing and business strategies including revenue/operational...
job_c0e1c6f4ef563672,Supply Chain Manager -WQG KR,,,framework of a term Contract and seek... Plan resource requirements for short term and medium term in consideration of sales...
job_caae60559135ce1c,Cross Border Ecommerce - Project Management,,,projects Lead some issue management and develop short term and long term solution Efficiently organise and convene meetings...
job_282e84ee532c651b,"Manager, E-Commerce Operation",,,platform behavior and social behavior to carry out long- term and short- term strategy for user acquisition and app penetration...
job_f523e7a39028172d,"CIB, Location Control Management, VP",,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
job_ca01112f2d124b7e,E-Boutique Professional,,,platform & identify new opportunities - building strong & long term partnerships with operators to get analytics and customer...
job_d476564717f124b3,Account Sales,,,opportunity development Strategic planning short & long term business development You are best equipped... task if you...
job_34b2528afa386a17,"Sr. AI/ML Consultant(Data Scientist), Professional Services",,,"doing analysis, discovering root causes, and designing long- term solutions... person who likes to have fun, loves..."
job_659eca74a23bc952,Client Protection Associate (Hong Kong > Seoul),,,"ll be working on several short term and long term requests at once, you'll quickly... team on long- term projects to anticipate..."
job_5e828fdb6857cf61,78762P-Sales Engineer,,,"foster long- term, trusted business relationships. Communicate key issues and advise customers on short-and long- term product..."
job_4129ae7fb452bdd8,PES Presales Internship (PES),,,"academic or career goals. Internships are generally one term experiences, generally... summer, though some can translate..."
job_be575169b22055f5,[촉탁직] Vitality 사무지원 업무 수행 인력,,,1.채용기간 2022-01-10 - 충원 완료시 2.고용형태 Contractor (Fixed Term) 3.채용직무소개 Vitality 사업 파트너별 정산 처리 업무 경영·인사·총무·사무>일반사무·사무지원>사무...
